stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_url,wheelchair_boarding
1-4869,4869,A.-Renoir,Élisabeth-II / A.-Renoir,46.861675,-71.329193,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/4869,0
1-5114,5114,de la Renouée,des Géraniums / de la Renouée,46.819317,-71.285019,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/5114,0
1-5453,5453,de la Renouée,des Géraniums / de la Renouée,46.819477,-71.285255,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/5453,1
1-5771,5771,de la Renommée,Rémy / de la Renommée,46.831997,-71.354782,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/5771,0
1-1710,1710,des Replats,des Rocailles / des Replats,46.835236,-71.277817,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/1710,1
1-4795,4795,du Repos,du Lac-Saint-Charles / du Repos,46.891045,-71.35527,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/4795,0
1-4852,4852,du Repos,du Lac-Saint-Charles / du Repos,46.890884,-71.354904,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/4852,0
1-4843,4843,de la Rêverie,Roger-Bontemps / de la Rêverie,46.89529,-71.369751,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/4843,0
1-5290,5290,de la Rêverie,R.-Bontemps / de la Rêverie,46.895245,-71.36972,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/5290,0
1-2592,2592,R.-Rhéaume,J.-Talon Est / R.-Rhéaume,46.871929,-71.275566,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/2592,0
1-2600,2600,R.-Rhéaume,J.-Talon Est / R.-Rhéaume,46.871693,-71.275742,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/2600,0
1-3979,3979,Rhéaume,du Bourg-Royal / Rhéaume,46.858532,-71.220627,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/3979,0
1-3990,3990,Rhéaume,du Bourg-Royal / Rhéaume,46.858418,-71.220154,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/3990,1
1-5772,5772,Richard,de la Renommée / Rouault,46.831554,-71.356186,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/5772,0
1-5774,5774,Richard,de la Renommée / Richard,46.831501,-71.356033,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/5774,0
1-6431,6431,Rideau/6431,Rideau / face au 5255,46.796791,-71.333237,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/6431,0
1-6432,6432,Rideau/6432,Rideau / au 5445,46.797771,-71.335587,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/6432,0
1-6433,6433,Rideau/6433,Rideau / au 5450,46.797684,-71.335335,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/6433,0
1-4420,4420,Rideau/4420,du Parc-Technologique / Rideau,46.799633,-71.317062,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/4420,0
1-4653,4653,Rigaud,du Roitelet / Rigaud,46.86158,-71.344688,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/4653,0
1-4726,4726,Rigaud,du Roitelet / Rigaud,46.86166,-71.344734,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/4726,0
